,nome,genero,dtAtualizacao,nEpisodiosTotal,nEpisodios,status,img,link
1057,Terra Formars: Bugs2 2599,"Mangá, Ficção Científica, Mutação, Super Poderes, Alienígenas",21/08/2014,2,2,Completo,https://punchsubs.net/imagens/projetos/animes/511_thumb2.jpg,https://punchsubs.net/principal#listar/511/ovas/stream/1
1058,The iDOLM@STER Side M,"Musical, Fujoshi Heaven",01/10/2017,14,14,Completo,https://punchsubs.net/imagens/projetos/animes/2288_thumb2.jpg,https://punchsubs.net/principal#listar/2288/episodios/stream/1
1059,The King's Avatar (2018),"Ação, Jogos",21/05/2018,3,3,Completo,https://punchsubs.net/imagens/projetos/animes/2581_thumb2.jpg,https://punchsubs.net/principal#listar/2581/episodios/stream/1
1060,The Kings Avatar,"Ação, Jogos, Aventura, Comédia",07/05/2017,12,12,Nota: Quan Zhi Gao Shou,https://punchsubs.net/imagens/projetos/animes/2191_thumb2.jpg,https://punchsubs.net/principal#listar/2191/episodios/stream/1
1061,The Reflection,"Ação, Super Poderes",22/07/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2250_thumb2.jpg,https://punchsubs.net/principal#listar/2250/episodios/stream/1
1062,The Rolling Girls,Gênero:,10/01/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/586_thumb2.jpg,https://punchsubs.net/principal#listar/586/episodios/stream/1
1063,Tiger & Bunny,Gênero:,18/09/2011,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/110_thumb2.jpg,https://punchsubs.net/principal#listar/110/episodios/stream/1
1064,Tiger Mask W,"Ação, Drama, Shounen, Esportes",01/10/2016,38,25,Completo,https://punchsubs.net/imagens/projetos/animes/892_thumb2.jpg,https://punchsubs.net/principal#listar/892/episodios/stream/1
1065,Time Bokan 24,"Aventura, Comédia, Mecha",01/10/2016,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/885_thumb2.jpg,https://punchsubs.net/principal#listar/885/episodios/stream/1
1066,Time Bokan: Gyakushuu no San Akunin,"Aventura, Comédia, Histórico, Mecha",08/01/2018,24,12,Completo,https://punchsubs.net/imagens/projetos/animes/2509_thumb2.jpg,https://punchsubs.net/principal#listar/2509/episodios/stream/1
1067,Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi,"Aventura, Ficção",09/07/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/856_thumb2.jpg,https://punchsubs.net/principal#listar/856/episodios/stream/1
1068,To be Hero,"Comédia, Super-Herói",05/10/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/1952_thumb2.jpg,https://punchsubs.net/principal#listar/1952/episodios/stream/1
1069,To Be Heroine,"Comédio, Super Poderes",19/05/2018,2,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2580_thumb2.jpg,https://punchsubs.net/principal#listar/2580/episodios/stream/1
1070,To Love-Ru: Trouble - Darkness (Blu-Ray),"Aliens, Comédia, Ecchi, Harem, Humanoid, Manga, Nudez, Pantsu, Romance, Vida Escolar, Sex, Shounen",28/04/2013,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/261_thumb2.jpg,https://punchsubs.net/principal#listar/261/episodios/stream/1
1071,To Love-Ru: Trouble - Darkness 2nd,"Comédia, Ecchi, Ficção, Harém, Romance, Shounen, Escolar",08/07/2015,14,14,Completo,https://punchsubs.net/imagens/projetos/animes/668_thumb2.jpg,https://punchsubs.net/principal#listar/668/episodios/stream/1
1072,Toaru Hikuushi e no Koiuta,"Aventura, Drama, Romance",11/01/2014,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/424_thumb2.jpg,https://punchsubs.net/principal#listar/424/episodios/stream/1
1073,Toaru Kagaku no Railgun S,Gênero:,01/06/2013,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/309_thumb2.jpg,https://punchsubs.net/principal#listar/309/episodios/stream/1
1074,Toaru Majutsu no Index II,"Ação, Harem, Magia, Novel, SciFi, Seinen, Super Poderes",02/04/2011,23,24,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/75_thumb2.jpg,https://punchsubs.net/principal#listar/75/episodios/stream/1
1075,Toaru Majutsu no Index: Endymion no Kiseki,"Fantasia, Magia, Novel, Sci-Fi, Seinen, Super Poderes, Violência",07/09/2013,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/358_thumb2.jpg,https://punchsubs.net/principal#listar/358/filmes/stream/1
1076,Togainu no Chi,"Action, Dating Sim - Visual Novel, Post-apocalyptic, SciFi, Shounen Ai",25/12/2010,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/76_thumb2.jpg,https://punchsubs.net/principal#listar/76/episodios/stream/1
1077,Toji no Miko,"Ação, Fantasia",05/01/2018,20,24,Lançando,https://punchsubs.net/imagens/projetos/animes/2503_thumb2.jpg,https://punchsubs.net/principal#listar/2503/episodios/stream/1
1078,Tokyo ESP,"Mangá, Shounen, Superpoderes",11/07/2014,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/500_thumb2.jpg,https://punchsubs.net/principal#listar/500/episodios/stream/1
1079,Tokyo Ghoul (Blu-Ray),"Mangá, Seinen, Mistério, Horror, Supernatural",28/12/2014,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/563_thumb2.jpg,https://punchsubs.net/principal#listar/563/episodios/stream/1
1080,Tokyo Ghoul √A,"Mangá, Seinen, Mistério, Horror, Supernatural",08/01/2015,12,12,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/574_thumb2.jpg,https://punchsubs.net/principal#listar/574/episodios/stream/1
1081,Tokyo Ghoul:,"Ação, Mistério, Horror, Psicológico, Sobrenatural, Drama",30/09/2017,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/2286_thumb2.jpg,https://punchsubs.net/principal#listar/2286/ovas/stream/1
1082,Tokyo Ghoul: Jack,"Ação, Drama, Horror, Escolar, Sobrenatural, Seinen",30/09/2017,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/2285_thumb2.jpg,https://punchsubs.net/principal#listar/2285/ovas/stream/1
1083,Tokyo Ghoul:re,"Ação, Drama, Horror, Mistério, Psicológico, Seinen, Sobrenatural",03/04/2018,9,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2537_thumb2.jpg,https://punchsubs.net/principal#listar/2537/episodios/stream/1
1084,Tokyo Ravens,"Novela, shounen",08/10/2013,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/386_thumb2.jpg,https://punchsubs.net/principal#listar/386/episodios/stream/1
1085,Toradora,"Comédia, Vida Escolar, Romance",24/12/2011,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/167_thumb2.jpg,https://punchsubs.net/principal#listar/167/ovas/stream/1
1086,Toriko x Dragon Ball x One Piece,"Shounen, Batalhas, Artes Marciais, Crossover",07/04/2013,1,1,Nota: Episódio 500,https://punchsubs.net/imagens/projetos/animes/300_thumb2.jpg,https://punchsubs.net/principal#listar/300/episodios/stream/1
1087,Total Eclipse,"Mecha, Sci-Fi, Seinen, Novel",28/12/2012,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/221_thumb2.jpg,https://punchsubs.net/principal#listar/221/episodios/stream/1
1088,Touhou Gensou Mangekyou,"Ação, Jogo, Fantasia, Magia",19/05/2015,5,5,Lançando,https://punchsubs.net/imagens/projetos/animes/640_thumb2.jpg,https://punchsubs.net/principal#listar/640/ovas/stream/1
1089,Touken Ranbu: Hanamaru,"Fantasia, Espadas",02/10/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/898_thumb2.jpg,https://punchsubs.net/principal#listar/898/episodios/stream/1
1090,Triage X,"Ação, Ecchi, Escolar, Shounen",08/04/2015,10,10,Completo,https://punchsubs.net/imagens/projetos/animes/627_thumb2.jpg,https://punchsubs.net/principal#listar/627/episodios/stream/1
1091,Trickster: Edogawa Ranpo Shounen Tanteidan yori,Mistério,03/10/2016,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/1943_thumb2.jpg,https://punchsubs.net/principal#listar/1943/episodios/stream/1
