,nome,genero,dtAtualizacao,nEpisodiosTotal,nEpisodios,status,img,link
0,.hack//Roots,"Aventura, Fantasia, Jogos, Sci-Fi",21/11/2017,26,26,Completo,https://punchsubs.net/imagens/projetos/animes/2349_thumb2.jpg,https://punchsubs.net/principal#listar/2349/episodios/stream/1
1,.hack//Sign,"Jogos, Sci-Fi, Aventura, Mistério, Magia, Fantasia",24/11/2017,28,26,Completo,https://punchsubs.net/imagens/projetos/animes/2362_thumb2.jpg,https://punchsubs.net/principal#listar/2362/episodios/stream/1
2,12-sai.: Chicchana Mune no Tokimeki 2ª Temporada,"Romance, Escolar, Shoujo",05/11/2016,12,12,Nota: Segunda Temporada,https://punchsubs.net/imagens/projetos/animes/1986_thumb2.jpg,https://punchsubs.net/principal#listar/1986/episodios/stream/1
3,18if,Supernatural,07/07/2017,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/2224_thumb2.jpg,https://punchsubs.net/principal#listar/2224/episodios/stream/1
4,3D Kanojo: Real Girl,"Escolar, Romance, Shoujo",03/04/2018,8,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2538_thumb2.jpg,https://punchsubs.net/principal#listar/2538/episodios/stream/1
5,91 Days,Drama,08/07/2016,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/855_thumb2.jpg,https://punchsubs.net/principal#listar/855/episodios/stream/1
6,A.I.C.O.: Incarnation,"Ação, Ficção Científica",22/03/2018,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2525_thumb2.jpg,https://punchsubs.net/principal#listar/2525/episodios/stream/1
7,Absolute Duo,"violência, ecchi, romance, ação, harem, novel, vida escolar",05/01/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/567_thumb2.jpg,https://punchsubs.net/principal#listar/567/episodios/stream/1
8,ACCA: 13ku Kansatsuka,"Drama, Policial",22/12/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/1990_thumb2.jpg,https://punchsubs.net/principal#listar/1990/episodios/stream/1
9,Accel World,"Ação, Novel, Sci-Fi",22/09/2012,25,24,Completo,https://punchsubs.net/imagens/projetos/animes/195_thumb2.jpg,https://punchsubs.net/principal#listar/195/episodios/stream/1
10,Accel World: Infinite Burst,"Ação, Jogo, Ficção Científica, Escolar, Romance",20/08/2017,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/2259_thumb2.jpg,https://punchsubs.net/principal#listar/2259/filmes/stream/1
11,Action Heroine Cheer Fruits,"Slice of Life, Comédia, Escolar",09/07/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2231_thumb2.jpg,https://punchsubs.net/principal#listar/2231/episodios/stream/1
12,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,"Mecha, Policial, Ficção Científica",07/01/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/741_thumb2.jpg,https://punchsubs.net/principal#listar/741/episodios/stream/1
13,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2ª Temporada,"Mecha, Policial, Ficção",10/07/2016,12,12,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/861_thumb2.jpg,https://punchsubs.net/principal#listar/861/episodios/stream/1
14,Aho Girl,"Comédia, Romance, Escolar",04/07/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2215_thumb2.jpg,https://punchsubs.net/principal#listar/2215/episodios/stream/1
15,Ai Mai Mii: Surgical Friends,Vida Cotidiana,22/12/2016,12,12,Nota: Terceira temporada,https://punchsubs.net/imagens/projetos/animes/2023_thumb2.jpg,https://punchsubs.net/principal#listar/2023/episodios/stream/1
16,Aikatsu Friends!,"Escolar, Magia, Shoujo, Slice of Life",08/04/2018,1,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2564_thumb2.jpg,https://punchsubs.net/principal#listar/2564/episodios/stream/1
17,Air Gear OVA,"Ação, Mangá, Shounen",03/07/2011,3,3,Completo,https://punchsubs.net/imagens/projetos/animes/81_thumb2.jpg,https://punchsubs.net/principal#listar/81/ovas/stream/1
18,Ajin,"Aventura, Horror, Mistério, Sobrenatural, Seinen",18/01/2016,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/772_thumb2.jpg,https://punchsubs.net/principal#listar/772/episodios/stream/1
19,Ajin 2ª Temporada,"Ação, Horror, Mistério, Seinen, Supernatural",20/10/2016,13,13,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/1981_thumb2.jpg,https://punchsubs.net/principal#listar/1981/episodios/stream/1
20,Ajin OAD,Gênero:,01/01/2017,2,3,Lançando,https://punchsubs.net/imagens/projetos/animes/2039_thumb2.jpg,https://punchsubs.net/principal#listar/2039/ovas/stream/1
21,Akagami no Shirayuki-hime,"Drama, Fantasia, Histórico, Romance, Shoujo",06/07/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/662_thumb2.jpg,https://punchsubs.net/principal#listar/662/episodios/stream/1
22,Akagami no Shirayuki-hime 2ª Temporada,"Drama, Fantasia, Romance, Shoujo",11/01/2016,12,12,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/766_thumb2.jpg,https://punchsubs.net/principal#listar/766/episodios/stream/1
23,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",Gênero:,03/01/2017,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/2044_thumb2.jpg,https://punchsubs.net/principal#listar/2044/ovas/stream/1
24,Akame ga Kill!,"Mangá, Shounen, Aventura",06/07/2014,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/489_thumb2.jpg,https://punchsubs.net/principal#listar/489/episodios/stream/1
25,Akatsuki no Yona,Gênero:,04/10/2014,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/529_thumb2.jpg,https://punchsubs.net/principal#listar/529/episodios/stream/1
26,Akibas Trip The Animation,"Ação, Aventura, Ecchi, Supernatural",22/12/2016,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/1991_thumb2.jpg,https://punchsubs.net/principal#listar/1991/episodios/stream/1
27,Akkun to Kanojo,"Comédia, Escolar, Josei, Romance",06/04/2018,6,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2545_thumb2.jpg,https://punchsubs.net/principal#listar/2545/episodios/stream/1
28,Akuma no Riddle,"Ação, Vida Escolar, Yuri",05/04/2014,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/458_thumb2.jpg,https://punchsubs.net/principal#listar/458/episodios/stream/1
29,Aldnoah.Zero,Mecha,05/07/2014,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/487_thumb2.jpg,https://punchsubs.net/principal#listar/487/episodios/stream/1
30,Aldnoah.Zero 2ª Temporada,Mecha,10/01/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/583_thumb2.jpg,https://punchsubs.net/principal#listar/583/episodios/stream/1
31,Alice or Alice: Siscon Niisan to Futago no Imouto,"Slice of Life, Seinen",04/04/2018,2,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2539_thumb2.jpg,https://punchsubs.net/principal#listar/2539/episodios/stream/1
32,Alice to Zouroku,"Aventura, Mistério, Seinen",02/04/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2071_thumb2.jpg,https://punchsubs.net/principal#listar/2071/episodios/stream/1
33,All Out!!,"Escolar, Esportes, Seinen",06/10/2016,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/1965_thumb2.jpg,https://punchsubs.net/principal#listar/1965/episodios/stream/1
34,Amaama to Inazuma,"Comédia, Vida Cotidiana",04/07/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/839_thumb2.jpg,https://punchsubs.net/principal#listar/839/episodios/stream/1
35,Amagi Brilliant Park,"Comédia, Novel",07/10/2014,14,13,Completo,https://punchsubs.net/imagens/projetos/animes/542_thumb2.jpg,https://punchsubs.net/principal#listar/542/episodios/stream/1
36,Amanchu!,"Comédia, Escolar, Vida Cotidiana, Shounen",08/07/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/853_thumb2.jpg,https://punchsubs.net/principal#listar/853/episodios/stream/1
37,Amanchu! Advance,"Comédia, Escolar, Shounen, Slice of Life",07/04/2018,8,12,Lançando,https://punchsubs.net/imagens/projetos/animes/2552_thumb2.jpg,https://punchsubs.net/principal#listar/2552/episodios/stream/1
38,Amanchu! Special,"Slice of Life, Comédia, Escolar, Shounen",24/08/2017,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/2261_thumb2.jpg,https://punchsubs.net/principal#listar/2261/ovas/stream/1
39,Ameiro Cocoa,"Comédia, Slice of Life",05/10/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2305_thumb2.jpg,https://punchsubs.net/principal#listar/2305/episodios/stream/1
40,Amnesia,"Visual Novel, Shojo",26/03/2013,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/271_thumb2.jpg,https://punchsubs.net/principal#listar/271/episodios/stream/1
41,Ange Vierge,"Aventura, Magia, Fantasia, Escolar",09/07/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/860_thumb2.jpg,https://punchsubs.net/principal#listar/860/episodios/stream/1
42,Angel Beats!,"Ação, Fantasia, lutas com armas e Seinen",27/12/2010,14,14,Completo,https://punchsubs.net/imagens/projetos/animes/52_thumb2.jpg,https://punchsubs.net/principal#listar/52/episodios/stream/1
43,Ani Tore! XX,"Comédia, Esportes",05/10/2016,12,12,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/1956_thumb2.jpg,https://punchsubs.net/principal#listar/1956/episodios/stream/1
44,Anime de Wakaru Shinryounaika,"Comédia, Non-sense, Paródia",30/11/2017,20,20,Completo,https://punchsubs.net/imagens/projetos/animes/2447_thumb2.jpg,https://punchsubs.net/principal#listar/2447/episodios/stream/1
45,Animegataris,"Comédia, Escolar",09/10/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2324_thumb2.jpg,https://punchsubs.net/principal#listar/2324/episodios/stream/1
46,Anitore! EX,"Comédia, Esportes",13/10/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/727_thumb2.jpg,https://punchsubs.net/principal#listar/727/episodios/stream/1
47,Anne Happy,"Comédia, Escolas, Vida Cotidiana",07/04/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/802_thumb2.jpg,https://punchsubs.net/principal#listar/802/episodios/stream/1
48,Ano Natsu de Matteru,"Alien, Vida Escolar, Humanoides, Romance",27/03/2012,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/182_thumb2.jpg,https://punchsubs.net/principal#listar/182/episodios/stream/1
49,Ansatsu Kyoushitsu,"Comédia, Mangá, Vida Escolar, Shounen",24/12/2014,1,1,Lançando,https://punchsubs.net/imagens/projetos/animes/561_thumb2.jpg,https://punchsubs.net/principal#listar/561/ovas/stream/1
50,Ansatsu Kyoushitsu (TV),"Comédia, Mangá, Vida Escolar, Shounen",09/01/2015,22,22,Completo,https://punchsubs.net/imagens/projetos/animes/579_thumb2.jpg,https://punchsubs.net/principal#listar/579/episodios/stream/1
51,Ansatsu Kyoushitsu (TV) 2ª Temporada,"Ação, Comédia, Escolar, Shounen",07/01/2016,25,25,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/747_thumb2.jpg,https://punchsubs.net/principal#listar/747/episodios/stream/1
52,Ao Haru Ride,"Mangá, Shoujo",07/07/2014,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/491_thumb2.jpg,https://punchsubs.net/principal#listar/491/episodios/stream/1
53,Ao Haru Ride OAD,"Mangá, Shoujo",21/12/2014,1,2,Lançando,https://punchsubs.net/imagens/projetos/animes/560_thumb2.jpg,https://punchsubs.net/principal#listar/560/ovas/stream/1
54,Ao no Exorcist,Gênero:,02/10/2011,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/125_thumb2.jpg,https://punchsubs.net/principal#listar/125/episodios/stream/1
55,Ao no Exorcist Filme,"Ação, Aventura, Fantasia",08/07/2013,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/334_thumb2.jpg,https://punchsubs.net/principal#listar/334/filmes/stream/1
56,Ao no Exorcist: Kyoto Fujououhen,"Ação, Demônios, Fantasia, Shounen, Supernatural",22/12/2016,12,12,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/1992_thumb2.jpg,https://punchsubs.net/principal#listar/1992/episodios/stream/1
57,Ao no Exorcist: Kyoto Fujououhen OVA,"Ação, Demônios, Supernatural, Shounen, Fantasia",11/07/2017,1,2,Lançando,https://punchsubs.net/imagens/projetos/animes/2235_thumb2.jpg,https://punchsubs.net/principal#listar/2235/ovas/stream/1
58,Ao no Kanata no Four Rhythm,"Drama, Romance Escolar",11/01/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/768_thumb2.jpg,https://punchsubs.net/principal#listar/768/episodios/stream/1
59,Ao Oni The Animation,Horror,02/10/2016,13,13,Lançando,https://punchsubs.net/imagens/projetos/animes/899_thumb2.jpg,https://punchsubs.net/principal#listar/899/episodios/stream/1
60,Ao Oni The Animation (Filme),Horror,15/11/2017,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/2348_thumb2.jpg,https://punchsubs.net/principal#listar/2348/filmes/stream/1
61,Aoharu x Kikanjuu,"Ação, Comédia, Shounen",04/07/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/649_thumb2.jpg,https://punchsubs.net/principal#listar/649/episodios/stream/1
62,Aquarion Evol,"Mecha, Ação",25/06/2012,25,26,Completo,https://punchsubs.net/imagens/projetos/animes/179_thumb2.jpg,https://punchsubs.net/principal#listar/179/episodios/stream/1
63,Arakawa Under the Bridge,"Comédia, Romance, Seinen",11/07/2010,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/57_thumb2.jpg,https://punchsubs.net/principal#listar/57/episodios/stream/1
64,Arakawa Under the Bridge x Bridge,"Comédia, Dia a dia, Mangá e Seinen",04/01/2011,13,13,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/79_thumb2.jpg,https://punchsubs.net/principal#listar/79/episodios/stream/1
65,Arata Kangatari,"Ação, Aventura, Fantasia, Romance",11/06/2013,12,12,Nota: O Mito de Arata,https://punchsubs.net/imagens/projetos/animes/304_thumb2.jpg,https://punchsubs.net/principal#listar/304/episodios/stream/1
66,Arata-naru Sekai: World`s/Start/Load/End,Gênero:,08/11/2012,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/260_thumb2.jpg,https://punchsubs.net/principal#listar/260/episodios/stream/1
67,Arcana Famiglia,"Visual Novel, Shoujo",16/09/2012,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/218_thumb2.jpg,https://punchsubs.net/principal#listar/218/episodios/stream/1
68,Area no Kishi,"Esportes, Futebol, Shounen, Tragédia",29/09/2012,37,37,Completo,https://punchsubs.net/imagens/projetos/animes/171_thumb2.jpg,https://punchsubs.net/principal#listar/171/episodios/stream/1
69,Arslan Senki,"Ação, Aventura, Drama, Histórico, Sobrenatual, Fantasia",03/04/2015,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/601_thumb2.jpg,https://punchsubs.net/principal#listar/601/episodios/stream/1
70,Arslan Senki: Fuujin Ranbu,"Ação, Aventura, Drama, Histórico, Sobrenatual, Fantasia",03/07/2016,8,8,Completo,https://punchsubs.net/imagens/projetos/animes/836_thumb2.jpg,https://punchsubs.net/principal#listar/836/episodios/stream/1
71,Atom: The Beginning,"Ação, Ficção Científica, Mecha, Seinen",18/04/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2189_thumb2.jpg,https://punchsubs.net/principal#listar/2189/episodios/stream/1
72,B-Project: Kodou*Ambitious,Musical,02/07/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/831_thumb2.jpg,https://punchsubs.net/principal#listar/831/episodios/stream/1
73,B: The Beginning,"Drama, Ficção Científica, Suspense",10/03/2018,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2522_thumb2.jpg,https://punchsubs.net/principal#listar/2522/episodios/stream/1
74,Baby Steps,"Romance, Vida Escolar, Shounen, Esportes",05/04/2014,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/445_thumb2.jpg,https://punchsubs.net/principal#listar/445/episodios/stream/1
75,Baby Steps 2ª Temporada,"Esportes, Romance, Shounen, Escolar",03/04/2015,25,25,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/603_thumb2.jpg,https://punchsubs.net/principal#listar/603/episodios/stream/1
76,Bakemonogatari,"Fantasia, Ecchi, Novela, Romance, Seinen, Vampiro",06/08/2013,15,15,Completo,https://punchsubs.net/imagens/projetos/animes/346_thumb2.jpg,https://punchsubs.net/principal#listar/346/episodios/stream/1
77,Bakuman,"Arte, Mangá, Shounen",03/04/2011,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/67_thumb2.jpg,https://punchsubs.net/principal#listar/67/episodios/stream/1
78,Bakuman. 2ª Temporada,"Arte, Mangá, Shounen",25/03/2012,25,25,Nota: Segunda temporada,https://punchsubs.net/imagens/projetos/animes/150_thumb2.jpg,https://punchsubs.net/principal#listar/150/episodios/stream/1
79,Bakuman. 3ª Temporada,"Arte, Mangá, Shounen",31/03/2013,25,25,Nota: Terceira temporada,https://punchsubs.net/imagens/projetos/animes/248_thumb2.jpg,https://punchsubs.net/principal#listar/248/episodios/stream/1
80,Bakumatsu Rock,"Bishounen, Musical",02/07/2014,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/481_thumb2.jpg,https://punchsubs.net/principal#listar/481/episodios/stream/1
81,Bakuon!! Short Stories,"Comédia, Seinen, Vida Cotidiana",27/12/2016,4,4,Lançando,https://punchsubs.net/imagens/projetos/animes/2031_thumb2.jpg,https://punchsubs.net/principal#listar/2031/ovas/stream/1
82,Bakuon!!!,"Seinen, Vida Cotidiana",04/04/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/792_thumb2.jpg,https://punchsubs.net/principal#listar/792/episodios/stream/1
83,Ballroom e Youkoso,"Comédia, Esportes, Drama, Romance, Escolar, Shounen",07/07/2017,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/2225_thumb2.jpg,https://punchsubs.net/principal#listar/2225/episodios/stream/1
84,BanG Dream!,Música,22/12/2016,13,13,Lançando,https://punchsubs.net/imagens/projetos/animes/1993_thumb2.jpg,https://punchsubs.net/principal#listar/1993/episodios/stream/1
85,Barakamon,Comédia,06/07/2014,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/488_thumb2.jpg,https://punchsubs.net/principal#listar/488/episodios/stream/1
86,Basilisk,"Ação, Aventura, Mangá, Artes Marciais, Ninja, Novel, Samurai, Seinen, Swordplay, Tragédia, Violência",09/08/2013,24,24,Completo,https://punchsubs.net/imagens/projetos/animes/351_thumb2.jpg,https://punchsubs.net/principal#listar/351/episodios/stream/1
87,Basilisk: Ouka Ninpouchou,"Ação, Artes Marciais, Drama, Histórico, Seinen",03/01/2018,21,24,Lançando,https://punchsubs.net/imagens/projetos/animes/2477_thumb2.jpg,https://punchsubs.net/principal#listar/2477/episodios/stream/1
88,Battery,"Drama, Vida Cotidiana, Esporte",14/07/2016,11,11,Completo,https://punchsubs.net/imagens/projetos/animes/866_thumb2.jpg,https://punchsubs.net/principal#listar/866/episodios/stream/1
89,Battle Girl High School: Battle Girl Project,"Ação, Ficção Científica, Escolar",03/07/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2209_thumb2.jpg,https://punchsubs.net/principal#listar/2209/episodios/stream/1
90,Bayonetta: Bloody Fate,"Ação, Fantasia, Seinen",15/03/2014,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/432_thumb2.jpg,https://punchsubs.net/principal#listar/432/filmes/stream/1
91,Beatless,"Ação, Drama, Ficção Científica,Romance",03/01/2018,19,24,Lançando,https://punchsubs.net/imagens/projetos/animes/2489_thumb2.jpg,https://punchsubs.net/principal#listar/2489/episodios/stream/1
92,BECK,"Música, Shonen, Drama",09/08/2013,26,26,Nota: BD-Rip,https://punchsubs.net/imagens/projetos/animes/350_thumb2.jpg,https://punchsubs.net/principal#listar/350/episodios/stream/1
93,Beelzebub,"Ação, Comédia, Delinquentes, Demônios, Mangá, Vida Escolar, Shounen",25/03/2012,60,60,Completo,https://punchsubs.net/imagens/projetos/animes/93_thumb2.jpg,https://punchsubs.net/principal#listar/93/episodios/stream/1
94,Ben-To,"Comédia, Ecchi, Novel, Vida Escolar",25/12/2011,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/165_thumb2.jpg,https://punchsubs.net/principal#listar/165/episodios/stream/1
95,Bernard-jou Iwaku,"Comédia, Escolar",06/10/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/1966_thumb2.jpg,https://punchsubs.net/principal#listar/1966/episodios/stream/1
96,Berserk (2016),"Ação, Aventura, Demônios, Drama, Fantasia, Horror, Militar, Romance, Seinen, Sobrenatural",01/07/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/826_thumb2.jpg,https://punchsubs.net/principal#listar/826/episodios/stream/1
97,Berserk (2017),"Ação, Militar, Aventura, Horror, Sobrenatural, Drama",07/04/2017,13,12,Completo,https://punchsubs.net/imagens/projetos/animes/2089_thumb2.jpg,https://punchsubs.net/principal#listar/2089/episodios/stream/1
98,Berserk (Blu-Ray),"Ação, Aventura, Demônios, Drama, Fantasia, Horror, Romance, Supernatural, Seinen",25/08/2013,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/354_thumb2.jpg,https://punchsubs.net/principal#listar/354/episodios/stream/1
99,Berserk: Ougon Jidai Hen,"Aventura, Ação, Demônios, Medieval, Seinen, Horror, Luta de Espadas",24/12/2012,3,3,Lançando,https://punchsubs.net/imagens/projetos/animes/212_thumb2.jpg,https://punchsubs.net/principal#listar/212/filmes/stream/1
100,Beyblade Burst,"Ação, Aventura, Ficção, Esporte, Shounen",06/04/2016,29,51,Lançando,https://punchsubs.net/imagens/projetos/animes/800_thumb2.jpg,https://punchsubs.net/principal#listar/800/episodios/stream/1
101,Big Order,"Ação, Shonen, Superpoderes",15/04/2016,10,10,Completo,https://punchsubs.net/imagens/projetos/animes/815_thumb2.jpg,https://punchsubs.net/principal#listar/815/episodios/stream/1
102,Bikini Warriors,"Ação, Ecchi, Comédia, Fantasia",07/07/2015,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/666_thumb2.jpg,https://punchsubs.net/principal#listar/666/episodios/stream/1
103,Binan Koukou Chikyuu Bouei-bu Love!,"Superpoderes, Comédia, Bishounen, Vida Escolar",06/01/2015,14,12,Completo,https://punchsubs.net/imagens/projetos/animes/570_thumb2.jpg,https://punchsubs.net/principal#listar/570/episodios/stream/1
104,Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!,"Comédia, Magia, Vida Cotidiana",07/07/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/851_thumb2.jpg,https://punchsubs.net/principal#listar/851/episodios/stream/1
105,Binan Koukou Chikyuu Boueibu Happy Kiss!,"Comédia, Escolar, Paródia, Slice of Life",08/04/2018,1,0,Lançando,https://punchsubs.net/imagens/projetos/animes/2563_thumb2.jpg,https://punchsubs.net/principal#listar/2563/episodios/stream/1
106,Binbougami ga!,"Aventura, Comédia, Fantasia, Paródia, Shounen",28/09/2012,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/222_thumb2.jpg,https://punchsubs.net/principal#listar/222/episodios/stream/1
107,Bishoujo Senshi Sailor Moon Crystal,"Garotas Mágicas, Mangá, Shoujo, Romance, Ação, Comédia",24/06/2014,26,26,Completo,https://punchsubs.net/imagens/projetos/animes/478_thumb2.jpg,https://punchsubs.net/principal#listar/478/episodios/stream/1
108,Bishoujo Senshi Sailor Moon Crystal 3ª Temporada,"Demônios, Magia, Romance, Shoujo",04/04/2016,13,13,Nota: Terceira temporada,https://punchsubs.net/imagens/projetos/animes/791_thumb2.jpg,https://punchsubs.net/principal#listar/791/episodios/stream/1
109,Black Bullet,"Ação, Mistério, Ficção Científica, Seinen",05/04/2014,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/449_thumb2.jpg,https://punchsubs.net/principal#listar/449/episodios/stream/1
110,Black Clover (TV),"Ação, Comédia, Fantasia, Magia, Shounen",03/10/2017,34,51,Lançando,https://punchsubs.net/imagens/projetos/animes/2293_thumb2.jpg,https://punchsubs.net/principal#listar/2293/episodios/stream/1
111,Black Clover OVA,"Ação, Comédia, Fantasia, Magia, Shounen",04/05/2017,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/2190_thumb2.jpg,https://punchsubs.net/principal#listar/2190/ovas/stream/1
112,Black Rock Shooter,Gênero:,23/03/2012,8,8,Completo,https://punchsubs.net/imagens/projetos/animes/64_thumb2.jpg,https://punchsubs.net/principal#listar/64/ovas/stream/1
113,Blade,"Caçador de vampiros, monstros, vingança.",18/09/2011,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/130_thumb2.jpg,https://punchsubs.net/principal#listar/130/episodios/stream/1
114,Blade & Soul,"Fantasia, Jogo, Artes Marciais",03/04/2014,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/440_thumb2.jpg,https://punchsubs.net/principal#listar/440/episodios/stream/1
115,BlazBlue: Alter Memory,"Ação, jogo de ação",08/10/2013,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/385_thumb2.jpg,https://punchsubs.net/principal#listar/385/episodios/stream/1
116,Bleach,"Ação, Artes Marciais, Universo Paralelo, Shounen, Esquadrão Especiais, Super Poderes",27/03/2012,283,366,Completo,https://punchsubs.net/imagens/projetos/animes/1_thumb2.jpg,https://punchsubs.net/principal#listar/1/episodios/stream/1
117,Blend S,"Slice of Life, Comédia",07/10/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2317_thumb2.jpg,https://punchsubs.net/principal#listar/2317/episodios/stream/1
118,Blood Lad,"Fantasia, Comédia, Seinen",07/07/2013,10,10,Completo,https://punchsubs.net/imagens/projetos/animes/333_thumb2.jpg,https://punchsubs.net/principal#listar/333/episodios/stream/1
119,Blood-C,Gênero:,30/09/2011,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/128_thumb2.jpg,https://punchsubs.net/principal#listar/128/episodios/stream/1
120,BLOOD-C: The Last Dark,"Ação, Horror, Vampiros, Supernatural",04/03/2013,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/281_thumb2.jpg,https://punchsubs.net/principal#listar/281/filmes/stream/1
121,BLOODIVORES,"Ação, Sobrenatural, Vampiros",01/10/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/886_thumb2.jpg,https://punchsubs.net/principal#listar/886/episodios/stream/1
122,Boku dake ga Inai Machi,"Psicológico, Seinen, Sobrenatural",07/01/2016,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/742_thumb2.jpg,https://punchsubs.net/principal#listar/742/episodios/stream/1
123,Boku no Hero Academia 2,"Ação, Comédia, Escolar, Shounen, Superpoderes",01/04/2017,25,25,Completo,https://punchsubs.net/imagens/projetos/animes/2066_thumb2.jpg,https://punchsubs.net/principal#listar/2066/episodios/stream/1
124,Boku no Hero Academia 3,"Ação, Comédia, Esolar, Shounen, Super Poderes",07/04/2018,8,25,Lançando,https://punchsubs.net/imagens/projetos/animes/2549_thumb2.jpg,https://punchsubs.net/principal#listar/2549/episodios/stream/1
125,Boku no Hero Academia BD,"Ação, Comédia, Escolar, Shounen, Superpoderes",01/04/2017,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/2064_thumb2.jpg,https://punchsubs.net/principal#listar/2064/episodios/stream/1
126,Boku no Hero Academia OVAs,"Ação, Comédia, Super Poderes, Escolar, Shounen",10/07/2017,2,2,Lançando,https://punchsubs.net/imagens/projetos/animes/2234_thumb2.jpg,https://punchsubs.net/principal#listar/2234/ovas/stream/1
